,일자,시가,고가,저가,종가,거래량
425,2018-05-04,"53,000","53,900","51,800","51,900","39,565,391"
424,2018-05-08,"52,600","53,200","51,900","52,600","23,104,720"
423,2018-05-09,"52,600","52,800","50,900","50,900","16,128,305"
422,2018-05-10,"51,700","51,700","50,600","51,600","13,905,263"
421,2018-05-11,"52,000","52,200","51,200","51,300","10,314,997"
420,2018-05-14,"51,000","51,100","49,900","50,100","14,909,272"
419,2018-05-15,"50,200","50,400","49,100","49,200","18,709,146"
418,2018-05-16,"49,200","50,200","49,150","49,850","15,918,683"
417,2018-05-17,"50,300","50,500","49,400","49,400","10,365,440"
416,2018-05-18,"49,900","49,900","49,350","49,500","6,706,570"
415,2018-05-21,"49,650","50,200","49,100","50,000","9,020,998"
414,2018-05-23,"50,600","52,000","50,400","51,800","17,095,490"
413,2018-05-24,"52,000","52,000","51,100","51,400","8,289,275"
412,2018-05-25,"51,000","52,800","50,800","52,700","15,207,266"
411,2018-05-28,"52,500","53,000","52,000","52,300","9,787,820"
410,2018-05-29,"52,200","52,500","51,300","51,300","8,480,437"
409,2018-05-30,"51,300","51,500","49,100","49,500","20,498,098"
408,2018-05-31,"50,400","50,800","49,850","50,700","63,491,109"
407,2018-06-01,"50,500","51,700","49,950","51,300","13,038,499"
406,2018-06-04,"50,800","51,200","50,700","51,100","9,767,171"
405,2018-06-05,"51,100","51,400","50,400","51,300","9,144,100"
404,2018-06-07,"51,800","51,800","50,500","50,600","13,590,016"
403,2018-06-08,"50,200","50,400","49,600","49,650","16,951,706"
402,2018-06-11,"49,750","50,300","49,350","49,900","10,571,312"
401,2018-06-12,"49,700","49,800","49,250","49,400","12,110,569"
400,2018-06-14,"49,000","49,000","48,200","48,200","20,971,729"
399,2018-06-15,"48,500","48,700","47,650","47,650","17,080,892"
398,2018-06-18,"47,600","47,650","46,200","46,600","16,661,870"
397,2018-06-19,"47,200","47,350","46,500","47,000","15,217,971"
396,2018-06-20,"47,450","47,600","46,850","47,000","12,959,316"
395,2018-06-21,"47,900","47,900","47,050","47,050","10,015,541"
394,2018-06-22,"47,000","47,250","46,200","47,250","10,298,006"
393,2018-06-25,"47,050","47,050","46,150","46,650","10,587,711"
392,2018-06-26,"45,900","47,300","45,900","47,000","11,223,166"
391,2018-06-27,"47,450","48,500","47,000","47,950","15,274,752"
390,2018-06-28,"46,850","47,150","46,600","46,800","12,784,800"
389,2018-06-29,"46,250","47,150","46,200","46,650","14,099,635"
388,2018-07-02,"46,500","47,150","45,500","45,550","13,112,253"
387,2018-07-03,"45,750","46,450","45,750","46,150","10,959,655"
386,2018-07-04,"46,700","47,050","46,050","46,250","8,776,763"
385,2018-07-05,"46,100","46,550","45,600","45,950","7,039,773"
384,2018-07-06,"45,500","45,850","44,650","44,900","17,843,706"
383,2018-07-09,"45,500","46,100","45,200","45,600","11,602,464"
382,2018-07-10,"46,200","46,550","46,100","46,300","10,528,665"
381,2018-07-11,"46,400","46,450","45,400","46,000","11,224,077"
380,2018-07-12,"45,900","46,250","45,450","45,500","11,828,104"
379,2018-07-13,"45,800","46,500","45,750","46,500","11,543,389"
378,2018-07-16,"46,800","46,800","46,000","46,050","7,678,719"
377,2018-07-17,"46,150","46,200","45,600","45,850","8,892,953"
376,2018-07-18,"46,700","47,200","46,450","46,550","10,952,645"
375,2018-07-19,"47,050","47,200","46,600","46,900","9,880,128"
374,2018-07-20,"47,000","47,600","46,700","47,450","10,474,547"
373,2018-07-23,"47,100","47,200","46,150","46,500","10,823,782"
372,2018-07-24,"46,350","46,600","45,950","46,150","8,261,363"
371,2018-07-25,"46,250","46,550","45,900","46,150","7,222,471"
370,2018-07-26,"46,100","47,000","46,000","46,900","7,374,946"
369,2018-07-27,"46,450","47,000","46,450","46,900","4,762,460"
368,2018-07-30,"46,550","46,800","46,350","46,500","5,723,035"
367,2018-07-31,"46,200","46,450","46,000","46,250","8,033,607"
366,2018-08-01,"46,050","46,850","46,050","46,550","7,484,499"
365,2018-08-02,"46,550","46,800","45,500","45,550","8,560,924"
364,2018-08-03,"45,850","45,900","45,450","45,750","8,274,944"
363,2018-08-06,"46,150","46,150","45,750","45,800","6,771,979"
362,2018-08-07,"46,300","46,750","45,900","46,700","9,058,174"
361,2018-08-08,"47,000","47,000","46,550","46,800","6,429,338"
360,2018-08-09,"47,000","47,050","46,450","46,900","12,010,886"
359,2018-08-10,"46,150","46,400","44,850","45,400","16,670,643"
358,2018-08-13,"44,950","45,100","44,650","45,050","9,803,831"
357,2018-08-14,"44,850","45,400","44,850","45,150","6,409,259"
356,2018-08-16,"43,800","44,650","43,700","44,250","10,088,229"
355,2018-08-17,"44,050","44,400","44,050","44,100","6,808,747"
354,2018-08-20,"43,500","44,200","43,500","43,850","7,289,124"
353,2018-08-21,"43,700","44,900","43,700","44,800","9,520,270"
352,2018-08-22,"45,150","46,200","44,900","46,100","11,641,656"
351,2018-08-23,"46,150","46,200","45,700","46,200","6,730,918"
350,2018-08-24,"45,900","46,400","45,550","46,150","6,582,535"
349,2018-08-27,"46,100","46,550","46,000","46,300","5,263,782"
348,2018-08-28,"46,800","46,950","46,300","46,550","7,365,976"
347,2018-08-29,"46,750","46,800","46,400","46,800","5,572,374"
346,2018-08-30,"46,950","47,950","46,700","47,650","12,193,231"
345,2018-08-31,"47,100","48,450","47,000","48,450","13,577,454"
344,2018-09-03,"48,200","48,300","47,300","47,450","8,595,084"
343,2018-09-04,"47,550","47,800","47,200","47,650","6,791,255"
342,2018-09-05,"47,300","47,450","46,400","46,600","9,139,998"
341,2018-09-06,"46,200","46,400","45,800","46,100","9,040,553"
340,2018-09-07,"44,500","45,200","44,400","44,900","18,285,508"
339,2018-09-10,"45,450","45,550","45,000","45,500","9,979,838"
338,2018-09-11,"45,550","45,900","45,050","45,050","9,865,790"
337,2018-09-12,"44,900","45,100","44,500","44,550","12,995,269"
336,2018-09-13,"44,550","44,750","44,000","44,050","18,277,942"
335,2018-09-14,"45,000","45,850","44,900","45,850","12,446,344"
334,2018-09-17,"45,550","45,800","44,900","45,150","8,123,384"
